,asset,scenario,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
3,i,3,3,1.4096816737,98,4.327779365,255,-61.5,114,1.593495935,65.5,-23.5,0.347826087,8,15,19.8125,-6.2
4,i,2,2,1.3599520264,93.5,4.280042804,255,-51.5,111,1.8155339806,56.5,-27.5,0.3333333333,9,18,16.9444444444,-5.3333333333
5,i,1,1,1.3523721314,93,4.281015753,255,-46.5,111,2,53,-32.5,0.3125,10,21,16.55,-5.3571428571
6,i,16,16,1.3499817338,93,4.2885960998,255,-44.5,133,2.0898876404,50.5,-36.5,0.2777777778,10,25,16.4,-4.54
7,i,10,10,1.2710772788,87.5,4.2854475828,255,-55,114,1.5909090909,58,-26.5,0.4230769231,11,15,14.5454545455,-6.8
8,i,17,17,1.2703966084,87.5,4.2877436985,255,-48,114,1.8229166667,49.5,-34,0.2941176471,10,24,16.65,-4.875
9,i,18,18,1.2623796659,87.5,4.3149736955,255,-57,132,1.5350877193,43.5,-32,0.34375,11,21,15.0454545455,-5.8095238095
0,ru,6,6,0.8279453987,2025,152.2591568901,255,-2100,97,0.9642857143,1510,-235,0.3913043478,9,14,619.4444444444,-290.3571428571
1,ru,14,14,-0.2078775597,-415,124.2798088871,255,-1845,228,-0.2249322493,-1390,-495,0.306122449,15,32,305.6666666667,-186.71875
2,ru,8,8,-0.5959284566,-1270,132.6690705899,255,-2365,143,-0.5369978858,-1920,-415,0.2926829268,12,29,305.4166666667,-192.5862068966
3,ru,4,4,-0.6116015402,-1455,148.0998139314,255,-2315,331,-0.6285097192,-1935,-265,0.3461538462,9,17,323.8888888889,-285.2941176471
4,ru,15,15,-0.6505413482,-1285,122.9669248124,255,-2185,135,-0.5881006865,-2215,-485,0.2708333333,13,34,319.6153846154,-187.3529411765
5,ru,1,1,-0.7214199141,-1550,133.753040018,255,-2585,143,-0.5996131528,-2150,-385,0.2894736842,11,27,297.7272727273,-200.9259259259
6,ru,5,5,-0.754587137,-1805,148.9113834585,255,-2615,331,-0.690248566,-2315,-265,0.3076923077,8,18,348.125,-283.3333333333
7,ru,2,2,-0.8853747682,-1895,133.242312996,255,-2810,290,-0.6743772242,-2310,-325,0.28125,9,23,271.1111111111,-206.5217391304
8,ru,20,20,-0.9660725284,-2095,135.0001915609,255,-2785,354,-0.7522441652,-2635,-345,0.2647058824,9,25,295.5555555556,-211.8
9,ru,13,13,-0.9729244026,-2160,138.2084972007,255,-3315,296,-0.6515837104,-2550,-285,0.25,7,20,397.1428571429,-266.5
0,j,17,17,1.8371888734,171,5.7943189024,255,-59.5,37,2.8739495798,73,-35.5,0.3714285714,13,22,17.4615384615,-7
1,j,16,16,1.6907954935,155.5,5.7253152065,255,-55,37,2.8272727273,60,-37.5,0.3783783784,14,22,15.1071428571,-6.8863636364
2,j,18,18,1.4686679501,140,5.9342318208,255,-71,37,1.9718309859,56,-34.5,0.3823529412,13,21,17.4230769231,-8.119047619
3,j,8,8,1.4520543212,136.5,5.8520749241,255,-76.5,45,1.7843137255,58.5,-33.5,0.4242424242,14,18,15.2857142857,-8.6388888889
4,j,1,1,1.3745992924,129,5.842163193,255,-76.5,45,1.6862745098,50,-32.5,0.40625,13,18,16.4230769231,-9.0833333333
5,j,14,14,1.3568152054,121,5.5516842566,255,-56,104,2.1607142857,47,-45.5,0.4,18,25,11.8333333333,-6.64
6,j,19,19,1.3491722232,129.5,5.9753378693,255,-73.5,37,1.7619047619,46,-33.5,0.3939393939,13,19,17,-9.2105263158
7,j,15,15,1.3377759495,122.5,5.7004979617,255,-61.5,101,1.9918699187,43,-42.5,0.380952381,16,24,13.46875,-7.1875
8,j,20,20,1.2857000315,123,5.9556003513,255,-80.5,101,1.5279503106,36.5,-32.5,0.375,12,19,18.5,-9.7631578947
9,j,9,9,1.08126538,103.5,5.958928052,255,-82,80,1.262195122,22.5,-32.5,0.375,12,19,17.0833333333,-9.6052631579
0,jm,14,14,0.3678753175,18.5,3.1306258608,255,-62.5,92,0.296,-15,-40,0.275,11,27,10.6363636364,-4.8888888889
1,jm,7,7,0.3551038179,18,3.1555658937,255,-61,91,0.2950819672,-17,-35,0.3142857143,11,24,10.5,-5.5208333333
2,jm,8,8,0.3173415164,17,3.3348946475,255,-57.5,81,0.2956521739,-18.5,-32,0.375,12,20,9.7083333333,-6.75
3,jm,0,0,0.2855577285,15,3.2700728682,255,-67.5,91,0.2222222222,-21.5,-34,0.3235294118,11,23,10.4090909091,-5.9130434783
4,jm,15,15,0.1803302008,9.5,3.2795573439,255,-66.5,91,0.1428571429,-19.5,-38,0.3157894737,12,25,10.2916666667,-5.72
5,jm,16,16,0.0919697676,5,3.3844258639,255,-69,91,0.0724637681,-24,-35,0.2857142857,10,25,13.15,-6.22
6,jm,18,18,0.0694224737,4,3.5869060072,255,-63.5,239,0.062992126,-30,-30,0.3,9,21,11.6111111111,-6.4047619048
7,jm,17,17,0.045836843,2.5,3.3953566546,255,-61,81,0.0409836066,-36.5,-33,0.2727272727,9,23,12.7222222222,-6.5652173913
8,jm,4,4,0.0074618781,0.5,4.1714010466,255,-50,46,0.01,-14,-21,0.380952381,8,13,13.4375,-9.3461538462
9,jm,1,1,0,0,3.4030440287,255,-63,81,0,-33.5,-32,0.34375,11,21,10.2727272727,-6.9761904762
0,ag,2,2,1.5359067175,660,26.7509485229,255,-169,41,3.9053254438,589,-49,0.5833333333,14,10,67.2142857143,-35.2
1,ag,14,14,1.4391694151,577,24.9588161627,255,-159,24,3.6289308176,472,-74,0.4324324324,16,21,65.5625,-27.4761904762
2,ag,15,15,1.3869384263,587,26.3475968977,255,-177,24,3.3163841808,511,-67,0.4242424242,14,19,78.2142857143,-30.7368421053
3,ag,18,18,1.3084568497,568,27.0239619425,255,-199,19,2.8542713568,531,-55,0.4814814815,13,14,72.9230769231,-29.7857142857
4,ag,17,17,1.2919333596,550,26.50224515,255,-224,95,2.4553571429,518,-57,0.5,14,14,74.5,-37.5
5,ag,0,0,1.2364258729,528,26.584342782,255,-207,108,2.5507246377,469,-61,0.4333333333,13,17,78.1538461538,-32.1764705882
6,ag,19,19,1.2350737402,532,26.8150637798,255,-208,19,2.5576923077,438,-53,0.5,13,13,69.3076923077,-35.6153846154
7,ag,7,7,1.1864014523,494,25.9212158932,255,-275,108,1.7963636364,416,-67,0.4242424242,14,19,73.7857142857,-32.4736842105
8,ag,20,20,1.0844006495,476,27.3260761123,255,-181,13,2.6298342541,447,-49,0.4583333333,11,13,75.0909090909,-29.1538461538
9,ag,9,9,1.0823431061,445,25.5950006939,255,-189,102,2.3544973545,377,-59,0.4482758621,13,16,71.9230769231,-34.875
0,cu,0,0,1.7358940668,8860,317.7390502606,255,-2180,54,4.0642201835,6480,-630,0.4516129032,14,17,933.5714285714,-387.6470588235
1,cu,7,7,1.6383642125,8190,311.1956651533,255,-2050,54,3.9951219512,5640,-690,0.4705882353,16,18,756.875,-359.4444444444
2,cu,1,1,1.5963130012,8400,327.5829769118,255,-2710,56,3.0996309963,6240,-570,0.5,14,14,932.8571428571,-487.1428571429
3,cu,17,17,1.5610218044,7820,311.8587068183,255,-2490,56,3.140562249,5150,-630,0.5161290323,16,15,753.125,-460
4,cu,19,19,1.5165949367,8600,353.0115698418,255,-4470,114,1.9239373602,5150,-490,0.4166666667,10,14,1169,-467.1428571429
5,cu,2,2,1.4529667769,8090,346.6194490474,255,-3350,56,2.4149253731,4270,-510,0.44,11,14,1040,-512.1428571429
6,cu,8,8,1.388978018,7080,317.3203868069,255,-2660,93,2.6616541353,5140,-610,0.5,15,15,812.6666666667,-470
7,cu,9,9,1.3683287512,7510,341.6721452959,255,-3270,56,2.2966360856,3630,-570,0.4285714286,12,16,946.6666666667,-483.125
8,cu,14,14,1.31520911,6090,288.2587998847,255,-2520,119,2.4166666667,3480,-870,0.4418604651,19,23,573.6842105263,-322.6086956522
9,cu,11,11,1.2247910946,7360,374.0898150823,255,-4100,56,1.7951219512,5530,-470,0.4782608696,11,12,1054.5454545455,-505.8333333333
0,au,15,15,1.6713718916,32.6,1.214240169,255,-13.8,128,2.3623188406,28.95,-3.75,0.4054054054,15,22,3.93,-1.3636363636
1,au,18,18,1.6312647927,33.4,1.2746240065,255,-10.85,128,3.0783410138,30.2,-3.05,0.4666666667,14,16,4.1285714286,-1.725
2,au,0,0,1.5641614888,31.15,1.2397569512,255,-15.4,128,2.0227272727,28.7,-3.55,0.4,14,21,4.2785714286,-1.4857142857
3,au,17,17,1.5366309219,31.25,1.2660199323,255,-14.3,128,2.1853146853,28.8,-3.25,0.4375,14,18,4.2821428571,-1.7305555556
4,au,14,14,1.5328813411,29.3,1.1899238587,255,-11.35,128,2.5814977974,25.55,-4.05,0.375,15,25,3.8466666667,-1.286
5,au,19,19,1.5224513344,31.5,1.2880336957,255,-12.2,128,2.5819672131,28.3,-2.95,0.4482758621,13,16,4.3384615385,-1.75625
6,au,16,16,1.3596084961,27.25,1.2477073308,255,-17.1,128,1.5935672515,24.8,-3.65,0.3888888889,14,22,4.1785714286,-1.5318181818
7,au,1,1,1.3027672599,26.2,1.2519717967,255,-13.1,154,2,24.65,-3.25,0.4375,14,18,3.8964285714,-1.6611111111
8,au,7,7,1.2393875577,24.6,1.235628922,255,-13.95,128,1.7634408602,21,-3.95,0.358974359,14,25,4.0464285714,-1.426
9,au,8,8,1.1417562346,22.65,1.2349657253,255,-10.55,154,2.1469194313,20,-3.55,0.4,14,21,3.7678571429,-1.5595238095
