,asset,scenario,chan,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
0,m,41,1,20,0.6688982537552196,206.0,19.17199239968873,255,-250.0,78,0.824,177.0,-56.0,0.39285714285714285,11,17,62.63636363636363,-30.11764705882353
1,m,23,1,2,0.5475693772110576,164.0,18.645102953178622,255,-295.0,90,0.5559322033898305,132.0,-62.0,0.3225806451612903,10,21,70.9,-27.476190476190474
2,m,24,1,3,0.5045665730111728,152.0,18.753623909996804,255,-253.0,98,0.6007905138339921,101.0,-58.0,0.3448275862068966,10,19,70.8,-31.94736842105263
3,m,9,0,9,0.48065957846442775,155.0,20.07493680810261,255,-407.0,109,0.3808353808353808,86.0,-76.0,0.39473684210526316,15,23,46.2,-26.391304347826086
4,m,2,0,2,0.4697078466317722,150.0,19.880327464654574,255,-383.0,109,0.391644908616188,101.0,-70.0,0.37142857142857144,13,22,53.15384615384615,-26.818181818181817
5,m,25,1,4,0.4422911198667018,135.0,19.001401669367667,255,-240.0,98,0.5625,95.0,-48.0,0.375,9,15,74.55555555555556,-38.4
6,m,15,0,15,0.2846504120950481,88.0,19.2455774010089,255,-346.0,127,0.2543352601156069,-51.0,-128.0,0.4375,28,35,26.892857142857142,-22.97142857142857
7,m,20,0,20,0.26977568997830914,87.0,20.075969656920332,255,-402.0,109,0.21641791044776118,32.0,-68.0,0.38235294117647056,13,21,51.23076923076923,-30.19047619047619
8,m,3,0,3,0.13644045332376584,43.0,19.61938510072983,255,-411.0,109,0.10462287104622871,-12.0,-66.0,0.3333333333333333,11,22,60.90909090909091,-31.0
9,m,14,0,14,0.12412002572759408,39.0,19.560630081606256,255,-370.0,235,0.10540540540540541,-95.0,-142.0,0.39436619718309857,28,41,30.678571428571427,-23.26829268292683
0,RM,28,1,7,0.46055521008887856,121.0,16.355497560384343,255,-180.0,68,0.6722222222222223,32.0,-95.0,0.3617021276595745,17,30,42.8235294117647,-23.2
1,RM,21,1,0,0.44466670902971467,122.0,17.079899243252047,255,-208.0,68,0.5865384615384616,35.0,-89.0,0.3409090909090909,15,29,48.6,-23.93103448275862
2,RM,14,0,14,0.35860657931670437,118.0,20.48442812441625,255,-244.0,43,0.48360655737704916,6.0,-135.0,0.3880597014925373,26,38,33.76923076923077,-22.94736842105263
3,RM,0,0,0,0.35454075194264034,120.0,21.070516159492154,255,-222.0,85,0.5405405405405406,20.0,-97.0,0.3958333333333333,19,28,42.10526315789474,-27.857142857142858
4,RM,16,0,16,0.32003779555169676,108.0,21.007896792675144,255,-215.0,84,0.5023255813953489,-17.0,-99.0,0.40816326530612246,20,28,37.6,-27.464285714285715
5,RM,35,1,14,0.3148349639283747,84.0,16.609494653502946,255,-243.0,94,0.345679012345679,-18.0,-117.0,0.3620689655172414,21,35,36.42857142857143,-22.37142857142857
6,RM,15,0,15,0.2920347380209025,98.0,20.890635476448537,255,-224.0,85,0.4375,-15.0,-121.0,0.38333333333333336,23,36,36.73913043478261,-23.88888888888889
7,RM,36,1,15,0.28280321614049964,77.0,16.94987387819287,255,-211.0,70,0.36492890995260663,-20.0,-107.0,0.33962264150943394,18,35,42.77777777777778,-22.571428571428573
8,RM,7,0,7,0.19954804473842647,66.0,20.59000958410316,255,-236.0,85,0.2796610169491525,-31.0,-109.0,0.3888888888888889,21,32,39.04761904761905,-26.59375
9,RM,37,1,16,0.1330477436064462,37.0,17.31228130963374,255,-203.0,65,0.18226600985221675,-71.0,-93.0,0.32608695652173914,15,30,45.333333333333336,-25.033333333333335
0,y,8,0,8,0.21021615664541826,134.0,39.68247914182579,255,-510.0,174,0.2627450980392157,-94.0,-184.0,0.3695652173913043,17,29,87.05882352941177,-54.275862068965516
1,y,11,0,11,0.21005429417879254,140.0,41.491254047339595,255,-492.0,125,0.2845528455284553,92.0,-118.0,0.3793103448275862,11,17,97.45454545454545,-57.64705882352941
2,y,2,0,2,0.20053739614139623,138.0,42.83944194328449,255,-564.0,77,0.24468085106382978,0.0,-148.0,0.3783783783783784,14,23,92.0,-56.0
3,y,17,0,17,0.15589488268915852,100.0,39.932659078474344,255,-500.0,51,0.2,-108.0,-198.0,0.3673469387755102,18,31,72.22222222222223,-45.41935483870968
4,y,1,0,1,0.13149401526220408,86.0,40.71482328285921,255,-500.0,174,0.172,-98.0,-176.0,0.36363636363636365,16,28,81.25,-49.92857142857143
5,y,14,0,14,0.1284730978812358,74.0,35.857467484066,255,-530.0,173,0.13962264150943396,-244.0,-294.0,0.3013698630136986,22,49,76.63636363636364,-39.38775510204081
