,asset,scenario,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
5,ag,20,20,0.8696992031,468,33.4993878398,255,-323,128,1.4489164087,362,-97,0.3541666667,17,30,80.1176470588,-33.3333333333
6,ag,13,13,0.8494616412,445,32.6119170149,255,-346,68,1.2861271676,390,-87,0.3953488372,17,25,87.9411764706,-44.2
7,ag,6,6,0.8115841734,408,31.2958451118,255,-306,32,1.3333333333,339,-79,0.4102564103,16,23,85.625,-44.8260869565
8,ag,0,0,0.7037105807,399,35.2970901944,255,-282,35,1.414893617,375,-118,0.4576271186,27,32,55.7777777778,-35.34375
9,ag,1,1,0.6742671204,379,34.9918833086,255,-298,43,1.2718120805,260,-112,0.3928571429,22,34,65.2272727273,-34.5588235294
0,cu,14,14,1.5040575986,6680,276.4853244392,255,-2520,111,2.6507936508,2240,-1650,0.4024390244,33,48,451.2121212121,-263.5416666667
1,cu,15,15,1.4065729068,6520,288.5661849669,255,-2950,111,2.2101694915,3130,-1510,0.4266666667,32,42,441.875,-262.1428571429
2,cu,7,7,1.2438917305,6020,301.2825653605,255,-2990,111,2.0133779264,2380,-1450,0.3888888889,28,43,516.7857142857,-281.1627906977
3,cu,16,16,1.2341046209,5620,283.4943625087,255,-2490,111,2.2570281124,1880,-1470,0.397260274,29,44,465.5172413793,-264.0909090909
4,cu,8,8,1.2338655273,6390,322.3985778239,255,-2590,54,2.4671814672,4010,-1290,0.390625,25,38,601.2,-290
5,cu,17,17,1.1916973062,5960,311.3439220961,255,-2360,104,2.5254237288,3540,-1350,0.4328358209,29,38,521.0344827586,-304.4736842105
6,cu,9,9,1.1672077144,6280,334.9435233146,255,-2950,57,2.1288135593,3910,-1170,0.4137931034,24,32,607.5,-333.4375
7,cu,2,2,1.1556468734,6460,347.9905570867,255,-3600,104,1.7944444444,4080,-1090,0.4259259259,23,30,689.1304347826,-392.3333333333
8,cu,10,10,1.1296009635,6460,356.0143911686,255,-3240,54,1.9938271605,5410,-1050,0.4615384615,24,28,665.4166666667,-377.1428571429
9,cu,1,1,1.1124386499,5860,327.9303681968,255,-2580,54,2.2713178295,3430,-1230,0.3770491803,23,38,628.2608695652,-290
0,au,7,7,0.2234549649,4.8,1.3372460346,255,-16.65,69,0.2882882883,-1.95,-6.65,0.3333333333,22,44,2.8545454545,-1.4715909091
1,au,9,9,0.2127528172,4.55,1.3313620308,255,-16.8,122,0.2708333333,-2,-6.35,0.3333333333,21,42,3.0619047619,-1.5785714286
2,au,1,1,0.1654077619,3.55,1.3360802914,255,-17.4,152,0.2040229885,-5.1,-6.35,0.3333333333,21,42,2.9452380952,-1.594047619
3,au,14,14,0.1321868038,2.75,1.2951041109,255,-17.75,124,0.1549295775,-3.55,-6.9,0.3623188406,25,44,2.48,-1.4897727273
4,au,8,8,0.0466483979,1,1.3345146843,255,-16.4,122,0.0609756098,-6.2,-6.65,0.3333333333,22,44,2.7931818182,-1.5375
5,au,0,0,0.0323723538,0.7,1.3461202319,255,-17.5,124,0.04,-7.05,-6.55,0.3230769231,21,44,2.869047619,-1.5295454545
