,asset,scenario,rsi_trigger,rsi_len,atr_period,atrma_period,stoploss,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
1,hc,25,0,0,1,1,4,1.11559575316,1876.0,63.8630962326,418,-666.0,23,2.81681681682,1876.0,204.0,0.43137254902,44,58,127.954545455,-64.724137931
2,hc,102,1,0,1,0,4,1.05531142626,1681.0,60.4938272258,418,-491.0,24,3.42362525458,1681.0,182.0,0.483516483516,44,47,111.409090909,-68.5319148936
3,hc,11,0,0,0,1,4,0.974177929644,1662.0,64.7913041647,418,-663.0,23,2.50678733032,1662.0,208.0,0.442307692308,46,58,122.565217391,-68.5517241379
4,hc,46,0,1,1,0,4,0.963891157707,1532.0,60.3607681052,418,-467.0,21,3.28051391863,1532.0,178.0,0.460674157303,41,48,113.365853659,-64.9166666667
5,hc,4,0,0,0,0,4,0.881398413778,1530.0,65.9239399092,418,-681.0,17,2.24669603524,1530.0,222.0,0.459459459459,51,60,109.0,-67.15
6,hc,95,1,0,0,1,4,0.87978665926,1373.0,59.2675744106,418,-540.0,21,2.54259259259,1373.0,178.0,0.483146067416,43,46,110.069767442,-73.0434782609
7,hc,53,0,1,1,1,4,0.874711660016,1353.0,58.7431010824,418,-490.0,24,2.7612244898,1353.0,176.0,0.454545454545,40,48,112.0,-65.1458333333
8,hc,39,0,1,0,1,4,0.87099709951,1347.0,58.7320115552,418,-489.0,24,2.75460122699,1347.0,174.0,0.471264367816,41,46,111.414634146,-70.0217391304
9,hc,193,2,0,1,1,4,0.854460850734,1218.0,54.1351204842,418,-498.0,57,2.44578313253,1218.0,138.0,0.449275362319,31,38,112.483870968,-59.7105263158
10,hc,29,0,1,0,0,1,0.819790640048,533.0,24.6915436764,418,-204.0,28,2.61274509804,533.0,578.0,0.43598615917,126,163,28.2380952381,-18.5582822086
11,hc,109,1,0,1,1,4,0.805889113724,1259.0,59.3300110929,418,-477.0,21,2.6394129979,1259.0,180.0,0.455555555556,41,49,113.048780488,-68.8979591837
