,asset,scenario,rsi_trigger,rsi_len,atr_period,atrma_period,stoploss,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
0,rb,1,0,0,0,0,1,1.54259687177,1385.0,34.0974040298,418,-391.0,36,3.54219948849,1385.0,670.0,0.4,134,201,39.3955223881,-19.3731343284
1,rb,43,0,1,1,0,1,1.45664608769,1094.0,28.5224786602,418,-195.0,115,5.61025641026,1094.0,472.0,0.419491525424,99,137,37.2121212121,-18.9051094891
2,rb,36,0,1,0,1,1,1.43783588408,1028.0,27.1523726329,418,-213.0,86,4.82629107981,1028.0,478.0,0.439330543933,105,134,34.1904761905,-19.1194029851
3,rb,29,0,1,0,0,1,1.36397457265,1041.0,28.984675589,418,-273.0,115,3.81318681319,1041.0,466.0,0.416309012876,97,136,37.9690721649,-19.4264705882
4,rb,45,0,1,1,0,3,1.31552019958,1820.0,52.5409420826,418,-540.0,37,3.37037037037,1820.0,164.0,0.40243902439,33,49,136.909090909,-55.0612244898
5,rb,8,0,0,0,1,1,1.30970496175,1122.0,32.5344427634,418,-371.0,35,3.02425876011,1122.0,666.0,0.405405405405,135,198,36.037037037,-18.904040404
6,rb,10,0,0,0,1,3,1.29894055637,2024.0,59.1759474387,418,-601.0,17,3.36772046589,2024.0,228.0,0.394736842105,45,69,123.355555556,-51.115942029
7,rb,99,1,0,1,0,1,1.29660258208,898.0,26.302282812,418,-145.0,11,6.19310344828,898.0,412.0,0.446601941748,92,114,33.6739130435,-19.298245614
8,rb,15,0,0,1,0,1,1.29340286354,1165.0,34.2070872878,418,-365.0,15,3.19178082192,1165.0,668.0,0.395209580838,132,202,38.1742424242,-19.1782178218
9,rb,24,0,0,1,1,3,1.25863266606,1936.0,58.4158018592,418,-608.0,17,3.18421052632,1936.0,226.0,0.380530973451,43,70,128.139534884,-51.0571428571
10,rb,85,1,0,0,0,1,1.25228006614,863.0,26.171783366,418,-154.0,108,5.6038961039,863.0,410.0,0.448780487805,92,113,33.5434782609,-19.6725663717
11,rb,31,0,1,0,0,3,1.25224704221,1731.0,52.4965837018,418,-548.0,37,3.15875912409,1731.0,166.0,0.385542168675,32,51,139.25,-53.431372549
12,rb,185,2,0,1,0,3,1.24378720405,1548.0,47.2660010669,418,-347.0,57,4.46109510086,1548.0,116.0,0.5,29,29,111.862068966,-58.4827586207
13,rb,92,1,0,0,1,1,1.24204438486,846.0,25.8676654715,418,-171.0,99,4.94736842105,846.0,424.0,0.452830188679,96,116,32.0416666667,-19.224137931
14,rb,38,0,1,0,1,3,1.24117226435,1674.0,51.2209206366,418,-436.0,37,3.83944954128,1674.0,162.0,0.407407407407,33,48,130.242424242,-54.6666666667
15,rb,171,2,0,0,0,3,1.19540771076,1491.0,47.3680579318,418,-330.0,57,4.51818181818,1491.0,118.0,0.491525423729,29,30,111.379310345,-57.9666666667
16,rb,192,2,0,1,1,3,1.16812489289,1428.0,46.4261763946,418,-517.0,57,2.76208897485,1428.0,118.0,0.474576271186,28,31,112.821428571,-55.8387096774
17,rb,294,3,1,1,0,0,1.15105203794,101.0,3.3323484254,418,-20.0,35,5.05,101.0,30.0,0.6,9,6,17.4444444444,-9.33333333333
18,rb,101,1,0,1,0,3,1.13867721053,1611.0,53.7302548215,418,-449.0,16,3.58797327394,1611.0,180.0,0.377777777778,34,56,134.205882353,-52.7142857143
19,rb,52,0,1,1,1,3,1.13768424324,1536.0,51.2735586888,418,-525.0,16,2.92571428571,1536.0,164.0,0.414634146341,34,48,125.823529412,-57.125
20,rb,178,2,0,0,1,3,1.13234331429,1408.0,47.2224508437,418,-518.0,57,2.71814671815,1408.0,118.0,0.474576271186,28,31,113.214285714,-56.8387096774
21,rb,50,0,1,1,1,1,1.10499175326,773.0,26.5671180611,418,-242.0,93,3.19421487603,773.0,490.0,0.424489795918,104,141,33.1442307692,-18.9645390071
22,rb,17,0,0,1,0,3,1.0915635328,1742.0,60.6070465767,418,-925.0,17,1.88324324324,1742.0,238.0,0.394957983193,47,72,124.468085106,-57.0555555556
23,rb,87,1,0,0,0,3,1.08675952,1539.0,53.7810349156,418,-449.0,16,3.4276169265,1539.0,182.0,0.362637362637,33,58,136.757575758,-51.275862069
24,rb,39,0,1,0,1,4,1.08135173583,1703.0,59.8097042437,418,-641.0,34,2.65678627145,1703.0,134.0,0.462686567164,31,36,142.612903226,-75.5
25,rb,22,0,0,1,1,1,1.08053373398,900.0,31.6321104255,418,-384.0,35,2.34375,900.0,668.0,0.404191616766,135,199,34.5111111111,-18.8894472362
26,rb,129,1,1,1,0,3,1.06852718125,1231.0,43.7518546219,418,-377.0,60,3.26525198939,1231.0,96.0,0.541666666667,26,22,101.230769231,-63.6818181818
27,rb,115,1,1,0,0,3,1.05761271065,1219.0,43.7724678691,418,-362.0,60,3.36740331492,1219.0,96.0,0.520833333333,25,23,104.36,-60.4347826087
28,rb,172,2,0,0,0,4,1.05757460459,1533.0,55.0497219659,418,-610.0,57,2.5131147541,1533.0,102.0,0.509803921569,26,25,132.307692308,-76.28
29,rb,3,0,0,0,0,3,1.04941660373,1689.0,61.1231470834,418,-925.0,17,1.82594594595,1689.0,242.0,0.388429752066,47,74,125.510638298,-56.8918918919
0,hc,18,0,0,1,0,4,1.38639835332,2384.0,65.3043642397,418,-560.0,4,4.25714285714,2384.0,150.0,0.52,39,36,132.025641026,-76.8055555556
1,hc,4,0,0,0,0,4,1.3634796181,2319.0,64.5916065974,418,-689.0,4,3.36574746009,2319.0,152.0,0.486842105263,37,39,138.027027027,-71.4871794872
2,hc,8,0,0,0,1,1,1.26248960752,1017.0,30.5926522268,418,-252.0,20,4.03571428571,1017.0,652.0,0.423312883436,138,188,37.6449275362,-22.2234042553
3,hc,22,0,0,1,1,1,1.16280956158,919.0,30.014485677,418,-237.0,66,3.8776371308,919.0,630.0,0.412698412698,130,185,37.7769230769,-21.5783783784
4,hc,11,0,0,0,1,4,1.13625498363,1919.0,64.1391444066,418,-541.0,4,3.5471349353,1919.0,156.0,0.487179487179,38,40,130.263157895,-75.775
5,hc,17,0,0,1,0,3,1.13146671928,1757.0,58.9731011176,418,-485.0,8,3.62268041237,1757.0,226.0,0.451327433628,51,62,103.921568627,-57.1451612903
6,hc,15,0,0,1,0,1,1.10601948812,906.0,31.1092403983,418,-217.0,20,4.17511520737,906.0,646.0,0.411764705882,133,190,37.4511278195,-21.4473684211
7,hc,0,0,0,0,0,0,1.0722515194,708.0,25.0761336574,418,-195.0,37,3.63076923077,708.0,1114.0,0.384201077199,214,343,23.3598130841,-12.5102040816
8,hc,3,0,0,0,0,3,1.07103556259,1653.0,58.6128650802,418,-575.0,33,2.8747826087,1653.0,232.0,0.465517241379,54,62,96.8148148148,-57.6612903226
9,hc,258,3,0,0,0,6,1.04002608833,1369.0,49.9900076645,418,-543.0,199,2.5211786372,1369.0,40.0,0.6,12,8,199.416666667,-128.0
10,hc,101,1,0,1,0,3,1.03037129601,1456.0,53.6650590963,418,-394.0,23,3.69543147208,1456.0,180.0,0.466666666667,42,48,96.4523809524,-54.0625
11,hc,24,0,0,1,1,3,1.02932844406,1613.0,59.5119775593,418,-491.0,71,3.28513238289,1613.0,216.0,0.435185185185,47,61,112.021276596,-59.868852459
12,hc,216,2,1,1,0,6,1.02679045886,1360.0,50.301515813,418,-668.0,182,2.03592814371,1360.0,36.0,0.555555555556,10,8,246.0,-137.5
13,hc,10,0,0,0,1,3,1.02258985807,1604.0,59.569900053,418,-482.0,8,3.32780082988,1604.0,224.0,0.4375,49,63,105.959183673,-56.9523809524
14,hc,202,2,1,0,0,6,1.01833857487,1341.0,50.0104279856,418,-675.0,182,1.98666666667,1341.0,36.0,0.555555555556,10,8,243.5,-136.75
15,hc,52,0,1,1,1,3,1.01798196864,1442.0,53.7958982545,418,-420.0,4,3.43333333333,1442.0,162.0,0.493827160494,40,41,93.225,-55.7804878049
